"h1","h2","h3","share%","color","codes","rawtime","totalTime","numReduceThreads"
"Total","GPU-Gabor","GPU-Gabor","50.2103","#f58231","Gabor","7.48646e+08","1.49102e+09","16"
"Total","GPU-Moments","GPU-Moments","21.801","#FFFACD","2D moms","3.25057e+08","1.49102e+09","16"
"Total","Image scan1","ImgScan1","0.0105645","lightsteelblue","Scan1","157520","1.49102e+09","16"
"Total","Image scan2a","ImgScan2a","1.40133","lightsteelblue","Scan2a","2.08941e+07","1.49102e+09","16"
"Total","Image scan2b","ImgScan2b","0.250357","lightsteelblue","Scan2b","3.73287e+06","1.49102e+09","16"
"Total","Image scan3","ImgScan3","0.00213459","lightsteelblue","Scan3","31827.2","1.49102e+09","16"
"Total","Intensity","Intensity","0.827147","#FFFF00","Int","1.23329e+07","1.49102e+09","16"
"Total","Morphology","Basic","0.251985","#4aaaea","E","3.75716e+06","1.49102e+09","16"
"Total","Morphology","Chords","1.44477","#4aaaea","Ch","2.15418e+07","1.49102e+09","16"
"Total","Morphology","Contour","0.375983","#4aaaea","C","5.60599e+06","1.49102e+09","16"
"Total","Morphology","Ellipticity","0.217961","#4aaaea","E","3.24984e+06","1.49102e+09","16"
"Total","Morphology","Erosion","1.47998","#4aaaea","Er","2.20668e+07","1.49102e+09","16"
"Total","Morphology","Euler","0.243877","#4aaaea","Eu","3.63626e+06","1.49102e+09","16"
"Total","Morphology","Extrema","0.213235","#4aaaea","Ex","3.17937e+06","1.49102e+09","16"
"Total","Morphology","Feret","0.497197","#4aaaea","F","7.41331e+06","1.49102e+09","16"
"Total","Morphology","Fractal dimension","0.284492","#4aaaea","Fd","4.24183e+06","1.49102e+09","16"
"Total","Morphology","HexPolygEncloInsCircleGeodetLenThickness","0.584966","#4aaaea","HP","8.72196e+06","1.49102e+09","16"
"Total","Morphology","Hull","0.260476","#4aaaea","H","3.88375e+06","1.49102e+09","16"
"Total","Morphology","Martin","0.466978","#4aaaea","M","6.96274e+06","1.49102e+09","16"
"Total","Morphology","Nassenstein","0.460945","#4aaaea","N","6.87278e+06","1.49102e+09","16"
"Total","Morphology","RoiR","0.771567","#4aaaea","R","1.15042e+07","1.49102e+09","16"
"Total","Neighbors","Neighbors","0.357381","#FF69B4","N","5.32862e+06","1.49102e+09","16"
"Total","RDistribution","Rdist","1.19904","#00FFFF","Rd","1.7878e+07","1.49102e+09","16"
"Total","RDistribution","Zernike","0.839076","#00FFFF","Rz","1.25108e+07","1.49102e+09","16"
"Total","Texture","GLCM","0.534812","#bbbbbb","GLCM","7.97417e+06","1.49102e+09","16"
"Total","Texture","GLDM","0.733011","#bbbbbb","D","1.09293e+07","1.49102e+09","16"
"Total","Texture","GLRLM","2.14828","#bbbbbb","RL","3.20313e+07","1.49102e+09","16"
"Total","Texture","GLSZM","10.845","#bbbbbb","SZ","1.61701e+08","1.49102e+09","16"
"Total","Texture","NGTDM","1.28619","#bbbbbb","NG","1.91773e+07","1.49102e+09","16"
"Total","All","All","100","#000000","TOTL","1.49102e+09","1.49102e+09","16"
